WrdEngID	WrdEng
1115	gam-kharu
1116	attractive
1117	separate
1118	exaggerate
1119	uncontaminated
1120	dutifulness
1121	traditional
1122	historian
1123	pregnant
1124	pregnancy
1125	superstition
1126	pick
1127	name
1128	include
1129	definition
1130	self-interest
1131	dedicate
1132	culture
1133	in vogue
1134	analysis
1135	specific
1136	host
1137	residence
1138	reside
1139	habitual
1140	aim
1141	aimless
1142	tourism
1143	battleground
1144	observer
1145	complain
1146	beautiful
1147	beauty
1148	capitalist
1149	import
1150	export
1151	safety
1152	ocular
1153	escape
1154	support
1155	burning
1156	weak
1157	school
1158	related
1159	invite
1160	honor
1161	birthplace
1162	conqueror
1163	perpetual
1164	untainted
1165	flee
1166	college
1167	university
1168	warehouse
1169	cinema
1170	talkie
1171	toxicant
1172	poison
1173	poisonous
1174	venomous
1175	dipped
1176	inclined
1177	sloped
1178	horse
1179	donkey
1180	ox
1181	disappearance
1182	fine
1183	produce
1184	mine
1185	longivity
1186	great soul
1187	sexuality
1188	fire brigade
1189	expatriate
1190	resolution
1191	set foot
1192	livelihood
1193	complete
1194	ownership
1195	spread
1196	tiny
1197	loathing
1198	legislator
1199	happen
1200	establishment
1201	conversation
1202	obstacle
1203	deprived
1204	founder
1205	symbol
1206	talkative
1207	volcanic crater
1208	missile
1209	weapon
1210	volcano
1211	fire arms
1212	bullet
1213	indecent
1214	return
1215	rescue
1216	extremist
1217	introvert
1218	neck
1219	humble
1220	quiet
1221	civilized
1222	sweet talker
1223	older
1224	die
1225	convener
1226	fill up
1227	statal
1228	drip
1229	infected
1230	surgery
1231	fulfilment
1232	lecture
1233	flowing
1234	close
1235	deputy commissioner
1236	commissioner
1237	itinerary
1238	night
1239	midnight
1240	morning
1241	noon
1242	afternoon
1243	evening
1244	nocturnal
1245	watchman
1246	obstruction
1247	indispensable
1248	trapped
1249	Pistia stratiotes
1250	developing
1251	missing
1252	bride
1253	daughter-in-law
1254	jungle
1255	forest
1256	sports
1257	under construction
1258	specify
1259	catch
1260	steal
1261	wedding
1262	hit
1263	lose
1264	sharpness
1265	environment
1266	repair
1267	hard knocks
1268	upstream
1269	downstream
1270	ugly
1271	imagination
1272	smell
1273	rest house
1274	stink
1275	sun bath
1276	bad-smelling
1277	legal
1278	illegal
1279	floor
1280	veranda
1281	garbage
1282	heap
1283	jon-biri
1284	example
1285	step
1286	walk
1287	dirty
1288	thing
1289	item
1290	handkerchief
1291	unholy
1292	clean
1293	hardship
1294	excludable
1295	feel
1296	tighten
1297	pond
1298	garden
1299	merchant
1300	amount
1301	rural
1302	twist and turn
1303	trick
1304	fruitful
1305	earnings
1306	power
1307	encompass
1308	now-a-days
1309	sentence
1310	true
1311	untrue
1312	liar
1313	implement
1314	dishonest
1315	democracy
1316	kingdom
1317	democratic
1318	pilot
1319	repeat
1320	saint
1321	count
1322	old age
1323	sufficient
1324	editorial
1325	urgent
1326	urgency
1327	attracted
1328	attract
1329	eye-offending
1330	displeasing
1331	yearly
1332	technique
1333	destroy
1334	hope
1335	divinity
1336	interfere
1337	capture
1338	late
1339	selfish
1340	selfishness
1341	goldsmith
1342	pride
1343	memory
1344	supernatural
1345	supernaturalism
1346	virtue
1347	sacred
1348	keep
1349	unable
1350	rape
1351	exploitation
1352	shameful
1353	unsocial
1354	social
1355	society
1356	dull
1357	page
1358	frontpage
1359	flip
1360	opposition
1361	dhol-biri
1362	examination
1363	explanation
1364	give up
1365	sleep
1366	material
1367	physics
1368	chemical
1369	juice
1370	chemistry
1371	physicist
1372	chemist
1373	can do
1374	advance
1375	juncture
1376	strange
1377	assumption
1378	shaky
1379	delivery
1380	warning
1381	meditation
1382	eclipse
1383	amaze
1384	eastern
1385	thought
1386	thinking
1387	western
1388	civilization
1389	introduction
